39138,B738,B-5859,Shenzhen Airlines,Nov 2013 (10 years),
65249,B789,EC-NEI,Air Europa,Oct 2019 (4 years),
67422,B39M,N982AK,Alaska Airlines,Jun 2023 (Brand new),
07791,A20N,SE-ROE,SAS,Sep 2017 (6 years),
11072,A19N,B-32AK,Tibet Airlines,Jan 2023 (1 year),
0435,A343,OY-KBA,SAS,Oct 2001 (22 years),
42000,B738,TC-JHP,Turkish Airlines,Jan 2013 (11 years),
4528,DH8D,VH-IYZ,National Jet Express,Jun 2016 (7 years),
63283,B38M,B-20C9,China Southern Airlines,Aug 2019 (4 years),
0058,AT43,XA-TIC,Aeromar,Aug 1987 (36 years),
33506,B763,JA612A,Air Do,Feb 2004 (20 years),
36822,B738,CN-RGE,Royal Air Maroc,Aug 2011 (12 years),
30559,B744,N412MC,Atlas Air,Apr 2000 (23 years),
08811,A20N,N347FR,Frontier,Mar 2019 (5 years),
29111,B744,B-16411,EVA Air,Apr 1998 (25 years),
20684,B742,74-0787,United States - Air Force,Jun 1974 (49 years),
31636,B738,N37287,United Airlines,May 2004 (19 years),
09573,A20N,B-30FP,Shenzhen Airlines,Sep 2020 (3 years),
10282,CRJ7,N521GJ,United Airlines,2009 (15 years),
17000858,E75L,N87364,United Airlines,2020 (4 years),
39743,B737,B-5298,China Eastern Airlines,Jun 2015 (8 years),
1172,AT76,YR-ACA,Aeroitalia,Aug 2014 (9 years),
34441,B738,VH-VUI,Virgin Australia,Jul 2006 (17 years),
41737,B77L,N894FD,FedEx,Jul 2019 (4 years),
15281,CRJ9,B-7693,China Express Airlines,Mar 2012 (12 years),
24984,B763,OY-SYA,Maersk Air Cargo,Nov 1990 (33 years),
43303,B38M,C-FTXF,Sunwing Airlines,May 2018 (5 years),
1463,A333,RP-C8783,Philippine Airlines,Oct 2013 (10 years),
1225,A332,XA-DUR,Awesome Cargo,Apr 2011 (12 years),
34710,B738,YR-BMT,Blue Air,Dec 2006 (17 years),
29647,B738,C-FTOH,Sunwing Airlines,Mar 2009 (15 years),
11399,A20N,SX-NEL,Aegean Airlines,Mar 2023 (Brand new),
17000405,E75L,N110SY,United Airlines,May 2014 (9 years),
15062,CRJ9,N803SK,Delta Air Lines,Jul 2006 (17 years),
11163,A20N,TC-LUV,AJet,Jan 2023 (1 year),
0535,A332,OE-IFW,Private owner,May 2003 (20 years),
17000438,E75L,N86316,United Airlines,Nov 2014 (9 years),
60630,B788,G-ZBJK,British Airways,Aug 2018 (5 years),
0484,AT45,G-LMRB,Loganair,Jan 1996 (28 years),
33345,B738,N337PJ,American Airlines,May 2017 (6 years),
29938,B738,EI-DAC,Amazon Air,Oct 2002 (21 years),
42239,B77W,9V-SWZ,Singapore Airlines,Jan 2015 (9 years),
828,A306,N145UP,UPS,Mar 2002 (22 years),
814,A306,N130UP,UPS,Feb 2001 (23 years),
42011,B739,TC-JYM,Turkish Airlines,Feb 2015 (9 years),
33805,B738,PK-BBN,BBN Airlines Indonesia,Jun 2004 (19 years),
29360,B737,S2-AHC,Regent Airways,Jan 2005 (19 years),
60463,B738,B-1596,Ruili Airlines,Sep 2017 (6 years),
11310,A20N,B-32EM,China Eastern Airlines,Jul 2023 (Brand new),
145449,E135,F-HMOV,Amelia,May 2001 (22 years),
145729,E145,729,Greece - Air Force,Dec 2004 (19 years),
09452,A21N,TC-LSZ,Turkish Airlines,Oct 2020 (3 years),
414,A359,RA-73155,Aeroflot,May 2020 (3 years),
40062,B738,HS-LUP,Thai Lion Air,May 2016 (7 years),
34808,B737,05-0932,United States - Air Force,Jul 2006 (17 years),
44253,B38M,9V-MBI,Singapore Airlines,Jun 2019 (4 years),
64259,B748,N613UP,UPS,Oct 2018 (5 years),
60282,B78X,9V-SCJ,Singapore Airlines,Apr 2019 (4 years),
63099,B763,N167FE,FedEx,Oct 2018 (5 years),
19020083,E295,PS-AEL,Azul Linhas Aereas,Nov 2022 (1 year),
233,A388,A6-API,Etihad Airways,Oct 2016 (7 years),
34959,B738,AP-BNC,Serene Air,Aug 2008 (15 years),
40031,B738,B-5622,Air China,Nov 2011 (12 years),
38313,B739,N936DZ,Delta Air Lines,Feb 2012 (12 years),
63163,B738,G-JZBH,Jet2,Jan 2018 (6 years),
17000832,E75L,N298SY,Delta Air Lines,2019 (5 years),
40802,B738,SU-GED,Egyptair,Jun 2012 (11 years),
12160,A21N,VH-OYR,Jetstar,N/A,
55139,BCS3,F-HZUB,Air France,Oct 2021 (2 years),
32671,B737,N7725A,Southwest Airlines,Apr 2006 (17 years),
64709,B38M,B-225J,Fuzhou Airlines,Jan 2020 (4 years),
340B-385,SF34,JA8951,Japan Coast Guard,Sep 1996 (27 years),
34903,B738,LY-BBN,KlasJet,Jul 2007 (16 years),
15200,CRJ9,N200PQ,Delta Air Lines,Oct 2008 (15 years),
43374,B39M,N934AK,Alaska Airlines,Mar 2022 (2 years),
047,A388,VH-OQG,Qantas,Aug 2009 (14 years),
35543,B77W,F-GZND,Air France,Mar 2009 (14 years),
10344,CRJ7,JA11RJ,Ibex Airlines,Jun 2015 (8 years),
1979,A338,5X-CRN,Uganda Airlines,Nov 2020 (3 years),
28858,B744,G-BYGE,British Airways,Jan 1999 (25 years),
0686,AT75,SP-SPI,SprintAir,May 2002 (21 years),
19000269,E190,XA-AEP,Aeromexico Connect,2009 (15 years),
192,DH8C,N192PF,Private owner,Jan 1990 (34 years),
0041,A343,CS-TOA,TAP Air Portugal,Nov 1994 (29 years),
10422,A21N,VT-ILG,IndiGo,Feb 2021 (3 years),
67864,B38M,N8863Q,Southwest Airlines,Mar 2023 (Brand new),
145417,E145,N650AE,American Airlines,Apr 2001 (22 years),
63581,B738,N8542Z,Southwest Airlines,Jun 2017 (6 years),
37792,B738,F-GZHM,Transavia,May 2014 (9 years),
214,A359,A7-AMI,Qatar Airways,Jan 2019 (5 years),
44915,B738,B-1769,Air China Inner Mongolia,May 2015 (8 years),
1398,AT76,PK-GJQ,Citilink,N/A,
30601,B737,N781WN,Southwest Airlines,Aug 2000 (23 years),
29825,B737,N420WN,Southwest Airlines,Dec 2001 (22 years),
00533,A320,YL-LCL,SmartLynx,Mar 1995 (29 years),
29050,B738,PK-CLQ,Sriwijaya Air,Dec 1999 (24 years),
44072,B39M,N958AK,Alaska Airlines,Jan 2023 (1 year),
00556,A320,B-2342,Sichuan Airlines,Sep 1995 (28 years),
11035,A20N,EC-NVS,Iberia,Sep 2022 (1 year),
15313,CRJ9,N313PQ,Delta Air Lines,Apr 2014 (9 years),
30420,B738,B-221V,Central Airlines,Mar 2002 (22 years),
63311,B789,9H-LNS,Private owner,Aug 2017 (6 years),
17000887,E75L,N506SY,American Airlines,Aug 2021 (2 years),
