aae,2:20 PM,LH1425,Frankfurt (FRA),Lufthansa,A320 (D-AIUP),,Departed 2:46 PM,Sunday Mar 17,departures
aae,2:45 PM,W44813,Athens (ATH),Wizz Air,A320 (9H-WDC),,Departed 2:49 PM,Sunday Mar 17,departures
aae,3:00 PM,JU213,Belgrade (BEG),AirSERBIA,AT76 (YU-ALZ),,Departed 3:06 PM,Sunday Mar 17,departures
aae,3:00 PM,OS848,Vienna (VIE),Austrian Airlines,A320 (OE-LBP),,Departed 3:01 PM,Sunday Mar 17,departures
aae,3:15 PM,W43869,Milan (BGY),Wizz Air,A321 (HA-LXR),,Departed 3:24 PM,Sunday Mar 17,departures
aae,3:40 PM,FR8422,Milan (BGY),Ryanair,B738 (EI-DLX),,Departed 4:13 PM,Sunday Mar 17,departures
aae,3:40 PM,W43843,Memmingen (FMM),Wizz Air,A321 (HA-LXK),,Departed 4:26 PM,Sunday Mar 17,departures
aae,4:05 PM,W46649,Pisa (PSA),Wizz Air,A321 (HA-LXY),,Departed 4:03 PM,Sunday Mar 17,departures
aae,4:15 PM,W44809,Venice (TSF),Wizz Air,A321 (HA-LTA),,Departed 4:21 PM,Sunday Mar 17,departures
aae,4:55 PM,2B225,Venice (VCE),Albawings,737,,Unknown,Sunday Mar 17,departures
aae,4:55 PM,AZ585,Rome (FCO),ITA Airways,A20N (EI-HJD),,Departed 4:57 PM,Sunday Mar 17,departures
aae,5:00 PM,W46633,Paris (BVA),Wizz Air,A321 (HA-LXV),,Departed 5:04 PM,Sunday Mar 17,departures
aae,5:10 PM,2B231,Pisa (PSA),Albawings,737,,Unknown,Sunday Mar 17,departures
aae,6:00 PM,W43865,Barcelona (BCN),Wizz Air,A320 (9H-WZW),,Departed 5:57 PM,Sunday Mar 17,departures
aae,6:10 PM,ZB1003,Istanbul (IST),Air Albania,A320 (ZA-MMK),,Departed 2:27 AM,Sunday Mar 17,departures
aae,6:10 PM,ZB2001,Rome (FCO),Air Albania,319,,Unknown,Sunday Mar 17,departures
aae,6:30 PM,A3973,Athens (ATH),Aegean Airlines,A320 (SX-DGZ),,Departed 6:27 PM,Sunday Mar 17,departures
aae,6:55 PM,FR8420,Rome (CIA),Ryanair,B738 (9H-QAN),,Departed 6:58 PM,Sunday Mar 17,departures
aae,6:55 PM,W43877,Bologna (BLQ),Wizz Air,A320 (9H-WDC),,Departed 6:51 PM,Sunday Mar 17,departures
aae,7:00 PM,ZB2005,Bologna (BLQ),Air Albania,319,,Unknown,Sunday Mar 17,departures
aae,7:45 PM,W46637,Genoa (GOA),Wizz Air,A321 (HA-LXE),,Departed 9:03 PM,Sunday Mar 17,departures
aae,7:55 PM,W46661,Turin (TRN),Wizz Air,A21N (HA-LZK),,Departed 8:10 PM,Sunday Mar 17,departures
aae,8:00 PM,W43887,Rome (FCO),Wizz Air,A321 (HA-LXA),,Departed 8:06 PM,Sunday Mar 17,departures
aae,8:05 PM,FR8403,Krakow (KRK),Ryanair,B738 (SP-RSV),,Departed 8:08 PM,Sunday Mar 17,departures
aae,8:10 PM,FR8400,Venice (TSF),Ryanair,B738 (9H-QEL),,Departed 8:17 PM,Sunday Mar 17,departures
aae,8:10 PM,W46609,Milan (MXP),Wizz Air,A321 (HA-LXR),,Departed 8:13 PM,Sunday Mar 17,departures
aae,8:20 PM,FR8416,Bucharest (OTP),Ryanair,B738 (9H-QBX),,Departed 8:20 PM,Sunday Mar 17,departures
aae,8:40 PM,RK8291,London (STN),Ryanair,B738 (G-RUKD),,Departed 8:42 PM,Sunday Mar 17,departures
aae,8:40 PM,W43849,Verona (VRN),Wizz Air,A321 (HA-LTA),,Departed 9:02 PM,Sunday Mar 17,departures
aae,8:45 PM,W43847,Bologna (BLQ),Wizz Air,A321 (HA-LXY),,Departed 8:54 PM,Sunday Mar 17,departures
aae,8:50 PM,W94474,London (LTN),Wizz Air,A21N (G-WUKP),,Departed 9:12 PM,Sunday Mar 17,departures
aae,8:55 PM,W46647,Bari (BRI),Wizz Air,A321 (HA-LXK),,Departed 9:15 PM,Sunday Mar 17,departures
aae,9:35 PM,W62234,Budapest (BUD),Wizz Air,A21N (HA-LGB),,Departed 10:09 PM,Sunday Mar 17,departures
aae,9:50 PM,FR8391,Pisa (PSA),Ryanair,B738 (9H-QET),,Departed 10:02 PM,Sunday Mar 17,departures
aae,10:05 PM,FR8370,Catania (CTA),Ryanair,B738 (9H-QCQ),,Departed 9:54 PM,Sunday Mar 17,departures
aae,11:05 PM,W94472,London (LTN),Wizz Air,A21N (G-WUNC),,Departed 11:13 PM,Sunday Mar 17,departures
aae,1:55 AM,PC282,Istanbul (SAW),Pegasus,A21N (TC-RDT),,Departed 4:11 AM,Monday Mar 18,departures
aae,3:00 AM,ZB1011,Istanbul (IST),Air Albania,A320 (ZA-MMK),,Estimated dep. 3:08 AM,Monday Mar 18,departures
aae,4:00 AM,JU217,Belgrade (BEG),AirSERBIA,AT76 (YU-ASA),,Departed 4:42 AM,Monday Mar 18,departures
aae,4:55 AM,OS850,Vienna (VIE),Austrian Airlines (Retro Livery),A320 (OE-LBO),,Departed 4:50 AM,Monday Mar 18,departures
aae,6:00 AM,W43841,Dortmund (DTM),Wizz Air,A21N (HA-LZK),,Departed 6:10 AM,Monday Mar 18,departures
aae,6:00 AM,W46611,Berlin (BER),Wizz Air,A321 (HA-LXV),,Departed 6:07 AM,Monday Mar 18,departures
aae,6:10 AM,W43845,Milan (BGY),Wizz Air,A321 (HA-LTA),,Departed 6:15 AM,Monday Mar 18,departures
aae,6:20 AM,W46607,Milan (MXP),Wizz Air,A321 (HA-LXR),,Departed 6:24 AM,Monday Mar 18,departures
aae,6:25 AM,LH1455,Frankfurt (FRA),Lufthansa,A320 (D-AIZI),,Departed 6:34 AM,Monday Mar 18,departures
aae,6:25 AM,W46603,Turin (TRN),Wizz Air,A321 (HA-LXA),,Departed 6:30 AM,Monday Mar 18,departures
aae,6:50 AM,W43851,Venice (TSF),Wizz Air,A321 (HA-LXY),,Departed 6:49 AM,Monday Mar 18,departures
aae,6:50 AM,W46625,Brussels (CRL),Wizz Air,A321 (HA-LXK),,Departed 7:05 AM,Monday Mar 18,departures
aae,6:55 AM,W43857,Rome (FCO),Wizz Air,A321 (HA-LXE),,Departed 6:58 AM,Monday Mar 18,departures
aae,6:55 AM,W46627,Eindhoven (EIN),Wizz Air,A320 (9H-WZW),,Departed 7:08 AM,Monday Mar 18,departures
aae,7:10 AM,W43843,Memmingen (FMM),Wizz Air,A320 (9H-WDC),,Departed 7:20 AM,Monday Mar 18,departures
aae,7:20 AM,ZB2009,Pisa (PSA),Air Albania,319,,Unknown,Monday Mar 18,departures
aae,7:25 AM,ZB1001,Istanbul (IST),Air Albania,A320 (ZA-MMK),,Departed 7:42 AM,Monday Mar 18,departures
aae,8:00 AM,2B195,Ancona (AOI),Albawings,737,,Unknown,Monday Mar 18,departures
